index,op,Cin,Hin,Win,stride,kw,kh,Cout,Hout,Wout,MAC
838,Add,128,1,384,1,1,1,128,1,384,0
839,FullyConnected,128,1,384,1,1,1,512,1,1,65536
840,FullyConnected,512,1,384,1,1,1,128,1,1,65536
841,Shortcut,128,1,384,1,0,0,128,1,384,49152
842,Add,128,1,384,1,1,1,128,1,384,0
843,FullyConnected,128,1,384,1,1,1,512,1,1,65536
844,FullyConnected,512,1,384,1,1,1,128,1,1,65536
845,Shortcut,128,1,384,1,0,0,128,1,384,49152
846,Add,128,1,384,1,1,1,128,1,384,0
847,FullyConnected,128,1,384,1,1,1,512,1,1,65536
848,FullyConnected,512,1,384,1,1,1,128,1,1,65536
849,Shortcut,128,1,384,1,0,0,128,1,384,49152
850,Add,128,1,384,1,1,1,128,1,384,0
851,FullyConnected,128,1,384,1,1,1,512,1,1,65536
852,FullyConnected,512,1,384,1,1,1,128,1,1,65536
853,Shortcut,128,1,384,1,0,0,128,1,384,49152
854,FullyConnected,128,1,384,1,1,1,512,1,1,65536
855,Shortcut,512,1,384,1,0,0,512,1,384,196608
856,Add,512,1,384,1,1,1,512,1,384,0
857,FullyConnected,512,1,384,1,1,1,128,1,1,65536
858,Reshape,128,1,1,1,1,1,32,384,4,0
859,Transpose,32,384,4,1,1,1,32,4,384,0
860,FullyConnected,512,1,384,1,1,1,128,1,1,65536
861,FullyConnected,128,1,1,1,1,1,128,1,1,16384
862,Reshape,128,1,1,1,1,1,32,384,4,0
863,Transpose,32,384,4,1,1,1,32,4,384,0
864,FullyConnected,128,1,1,1,1,1,128,1,1,16384
865,Reshape,128,1,1,1,1,1,32,384,4,0
866,Transpose,32,384,4,1,1,1,32,4,384,0
867,Transpose,32,4,384,1,1,1,384,4,32,0
868,Reshape,32,4,384,1,1,1,32,4,384,0
869,OP_49,1,1,1,1,1,1,32,1,384,0
870,Reshape,384,4,32,1,1,1,384,4,32,0
871,OP_49,1,1,1,1,1,1,384,1,32,0
872,Reshape,384,1,32,1,1,1,384,1,1,0
873,Reshape,384,1,32,1,1,1,384,1,1,0
874,Reshape,384,1,32,1,1,1,384,1,1,0
875,Reshape,384,1,32,1,1,1,384,1,1,0
876,Transpose,384,1,1,1,1,1,32,1,1,0
877,FullyConnected,32,1,384,1,1,1,384,1,1,12288
878,Transpose,384,1,1,1,1,1,32,1,1,0
879,FullyConnected,32,1,384,1,1,1,384,1,1,12288
880,Transpose,384,1,1,1,1,1,32,1,1,0
881,FullyConnected,32,1,384,1,1,1,384,1,1,12288
882,Transpose,384,1,1,1,1,1,32,1,1,0
883,FullyConnected,32,1,384,1,1,1,384,1,1,12288
884,OP_83,384,1,1,1,1,1,384,4,384,0
885,Mul,384,4,384,1,1,1,384,4,384,0
886,Reshape,384,4,384,1,1,1,384,4,384,0
887,Mul,384,4,384,1,1,1,384,4,384,0
888,Add,384,4,384,1,1,1,384,4,384,0
889,Softmax,384,4,384,1,1,1,384,4,384,0
890,Reshape,384,4,384,1,1,1,384,4,384,0
891,OP_49,1,1,1,1,1,1,384,1,384,0
892,Reshape,32,4,384,1,1,1,32,4,384,0
